User,Date Created,Number of Likes,Source of Tweet,Tweets
scumhour,2023-06-01 18:12:41+00:00,0,,"@brnrgugy 1 im not a sole dranti account if you learned to read bios you'd understand that
2 what fucking employer is gonna find my fucking twitter account on an alt email that i never use for anything else
3 ash isn't my real name try again
4 dreams a groomer no one asked"
mrrileaux6,2023-06-01 18:12:36+00:00,0,,@RepRobertGarcia Did you enjoy your shower with Dylan Mulvaney?? Definitely a groomer and a closet pedophile. It’s the democrats way!!! Keep it up and Biden just might let you shower with his underage granddaughter!!!
uncle_Ruckus985,2023-06-01 18:12:36+00:00,0,,@RepRobertGarcia Happy groomer month!
NotaliaMateo,2023-06-01 18:12:35+00:00,0,,@honkiavelli Ya. Ideal situation.
LIBS_R_RETARDED,2023-06-01 18:12:34+00:00,0,,@BrittanyNorth89 @Pride @academy_conrad @nlesd @SISNLESD @lgbtqnation @LGBTfdn @LGBTHM @EDU_GovNL Someone fire this child groomer.
aa24954983,2023-06-01 18:12:34+00:00,0,,@DaneHave @jnobles612 @AlphaNewsMN Groomer detected
patrick14594545,2023-06-01 18:12:24+00:00,0,,@SmutRocks @tim_cook Ok groomer
Udayksidhu,2023-06-01 18:12:17+00:00,0,,@derekvanstone @TorontoStar @GregorChisholm @BlueJays Ok groomer  take it easy. People are sick of rainbow cult grooming.
eurekafresh_,2023-06-01 18:12:11+00:00,0,,@AmiriKing @tmorello groomer
belindadav4,2023-06-01 18:11:53+00:00,0,,@TeamPelosi Oh shut up you groomer!
bmahonthatsit,2023-06-01 18:11:52+00:00,0,,"@therecount LOL - the teacher is supposedly resigning because of a law that tells them they can't teach something they supposedly don't have time to teach. 

Either they're a lying groomer, or this is a publicity stunt."
VioletBEscapes,2023-06-01 18:11:41+00:00,0,,@anti_deepstate @EcoFashionByBG Ok groomer. Why do you hate baby girls?
Warriortilend,2023-06-01 18:11:31+00:00,17,,"@antifaoperative How damn disgusting! 
People are freaking out over Pride Month but not this. Someone started with it being groomer month and I said it isn’t Christianity Month. 
People need to know who the real groomers are n protect their kids."
DarrenArmitag13,2023-06-01 18:11:29+00:00,0,,"@Upst8Downst8 @CathyDuke1231 @JoeyMannarinoUS It's the girls they want.   There are many more girls mutilating their bodies than men.

Bedrooms lol.   Groomer, you mean ""home room""."
MikeMoto87,2023-06-01 18:11:22+00:00,0,,"@tonymor46 @curt_gallia @KamalaHarris OK, groomer. None of has EVER seen it happen. It's only stories. GTFOH"
