User,Date Created,Number of Likes,Source of Tweet,Tweets
Megs_hart92,2019-05-31 23:43:25+00:00,1,,I brought my dog to the groomer and brought home a naked mole rat 😭
TheOGHandel,2019-05-31 23:27:38+00:00,1,,"@little__tunny Millicent!
Further referred to as
MILLIE
Milfoy
Millard
Milbo
Mil
Silly
Milliam
STINKY Gorl (but she smell so good, she's a great groomer) 
Squeaky
Grumbler (she does that lil cat sounds a lot)
Bastard Cat (when she attack feets) https://t.co/yTUmh6T0Lv"
sjnwoh,2019-05-31 23:21:12+00:00,1,,"@narnolddd I saw Marshmallow, too! Marshmallow probably was at the groomer's earlier today..."
paigeymariee,2019-05-31 23:19:33+00:00,1,,Bella went to the groomer today and she looks so freaking cute
cat_groomer,2019-05-31 23:01:21+00:00,0,,"Nimmy (Nimbus)

Grey Black silver maine coon. #mainecoon #mainecooncats #thecatgroomer https://t.co/LVJmUuQPw5"
johnbryant1017,2019-05-31 22:47:25+00:00,0,,"@FaithGoldy Faith, you could make the second option your dog groomer, the 5-year-old who leaves his bike in your yard, a bag of dirt, Harambe the dead gorilla, and all of them would poll higher than Trudeau"
KennethMLK,2019-05-31 22:39:05+00:00,1,,"@DorothyBruce14 There's a smugness there - hints of behind the scenes anointing. A friendly call from old groomer Andrew Neil ? good write ups in the press, QT, it adds up.
Have no illusions, Joe Bloggs will like her, and nasty remarks on Twitter will rebound. Still don't see why lying is needed"
heradasha,2019-05-31 22:18:31+00:00,0,,"Just made an appointment with a new dog groomer, who asked for my number ""in case we need to contact you, say if Gravy gets hit by a bus or something.""

WHY IS THAT YOUR EXAMPLE

WHY https://t.co/ERZamQdUou"
kristylucas42,2019-05-31 21:58:59+00:00,0,,"Looking for recommendations for a really good small dog groomer? Preferably in Rice Lake. 
Just had Zoey's haircut today (I will not name the groomer) and I'm just not happy with it, plus they charged us an extra... https://t.co/ZpRkm48hZu"
SeeLukeTri,2019-05-31 21:54:00+00:00,12,,Today it was Molly’s turn with the groomer https://t.co/DPzZiyfLho
1stplacemobile,2019-05-31 21:41:34+00:00,0,,"Maki had a spa day. Thanks Terri. Groomer Leota #cockerspaniel #1stplacedoggroomingsalon #mcdonoughdoggroomingsalon #doggrooming @ McDonough, Georgia https://t.co/EUFVZH29YW"
twinfaun,2019-05-31 21:32:57+00:00,0,,Wow the dog groomer really stood us up 3 times LMFAOJDJD
BennyWatson04,2019-05-31 21:17:50+00:00,1,,@1800PetMeds Boshi loves the groomer! 🐕❤️👍 https://t.co/tPOLd9g9oH https://t.co/ZtM5cjXCMW
1stplacemobile,2019-05-31 21:17:30+00:00,0,,"Ness had a spa day. Thanks Sharon. Groomer Rachel #dogsofinstagram #1stplacemobiledoggrooming #mcdonoughmobilegroomer #hamptonmobilegroomer #Stockbridgemobilegroomer #locustgrovemobilegroomer @ Henry County, Georgia https://t.co/lT8uPOlmiS"
nimarmz,2019-05-31 21:08:07+00:00,4,,Cua do te llevan al groomer en contra de tu voluntad #schnauzer https://t.co/dDzZ5uD2mq
